"lon","lat","Име","Адрес"
"23.280899","42.716202","Lukoil B015","София, бул. Сливница до Орион"
"23.383400","42.702301","Lukoil B014","София, Ботевградско шосе"
"23.177401","42.617699","Lukoil B036","София, вход на София от Перник, преди Владая"
"23.217800","42.650902","Lukoil B135","София, кв. Княжево (изход за Перник)"
"23.339199","42.657799","Lukoil B134","София, бул. Г. М. Димитров (до Зоопарка)"
"23.374701","42.674999","Lukoil B026","София, бул. Шипченски проход (до комплекс Червено знаме)"
"23.268801","42.711700","Lukoil B041","София, ж.к. Люлин-7, бул. Пиротски (до тунела)"
"23.255899","42.720299","Lukoil B040","София, ж.к. Люлин-8, бул. Панчо Владигеров"
"23.297400","42.702301","Lukoil B043","София, бул. Тодор Александров"
"23.402880","42.658855","Lukoil B090","София, ул. Илия Бешков №6"
"23.390499","42.672699","Lukoil B064","София, ул. Асен Йорданов"
"23.229799","42.691101","Lukoil B077","София, Околовръстен път, до кв. Суходол"
"23.328501","42.723499","Lukoil B130","София, кв. Орландовци, бул. Първа българска армия, до ДЗИ"
"23.272900","42.660702","Lukoil B146","София, бул. Братя Бъкстон"
"23.243380","42.672379","Lukoil B133","София, кв. Горна баня "
"23.331301","42.704399","Lukoil B143","София, бул. Сливница (Сточна гара)"
"23.291500","42.663101","Lukoil F525","София, бул. Тодор Каблешков №74"
"23.374298","42.630264","Lukoil F526","София, жк Младост 4, ул. Самара №1"
"25.659700","42.428101","Lukoil B021","Стара Загора, бул. Никола Петков (до СБА)"
"25.646000","42.394901","Lukoil B142","Стара Загора, кв. Кольо Ганчев (вход от Димитровград)"
"27.795000","42.992599","Lukoil B153","Старо Оряхово, на гл. път Бургас-Варна"
"25.893299","42.656700","Lukoil B106","Твърдица, път 6 (Бургас-София)"
"24.244301","42.926399","Lukoil B164","Тетевен, ул. Вършец №77 (изход за Плевен)"
"26.554800","43.225498","Lukoil B136","Търговище, гл. път Варна - София, изход за София"
"26.575001","43.255402","Lukoil B112","Търговище, ул. 29-ти януари №7"
"25.920671","41.926006","Lukoil B107","Харманли, Тополовградско шосе (изход за Свиленград)"
"25.600201","41.930801","Lukoil B057","Хасково, бул. Съединение (изход за Харманли)"
"25.561701","41.918201","Lukoil B185","Хасково, бул. Освобождение (изход към Кърджали)"
"27.837900","42.169399","Lukoil B071","Царево, гл. път за Бургас"
"24.683800","41.730801","Lukoil B192","Чепеларе, ул. Беломорска"
"27.636400","42.438702","Lukoil B078","Черноморец, панорамен път Приморско-Бургас"
"25.338900","42.201099","Lukoil B180","Чирпан, парк Стари гробища (изход за Стара Загора)"
"26.909599","43.277802","Lukoil B039","Шумен, ж.к. Боян Българанов"
"26.945499","43.260502","Lukoil B205","Шумен, бул. Ришки проход"
"23.679199","42.025002","Lukoil B175","Якоруда, ул. Цар Борис ІІІ №2 (изход към Юндола)"
"26.528500","42.475101","Lukoil B006","Ямбол, ул. Търговска №164"
"26.496599","42.471100","Lukoil B104","Ямбол, ул. Обходен път-Юг"
"23.254299","42.718300","Eko София - Люлин","София, бул. Панчо Владигеров и ул. 701"
"24.798500","42.082802","Eko Асеновград","Крумово, 8-ми км на път ІІ-86 (посока Пловдив-Асеновград)"
"25.963800","43.846699","Eko Русе Липник","Русе, бул. Липник №3"
"23.384174","42.669510","Eko София - Дружба I","София, бул. Професор Цветан Лазаров"
"23.328899","42.668098","Eko София - Вапцаров","София, бул. Никола Вапцаров №2А"
"27.831556","43.572655","Eko Добрич - Добруджа","Добрич, бул. Добруджа №24"
"25.981501","43.843300","Eko Русе България","Русе, бул. България №206"
"23.293100","42.650101","Eko София – Бояна","София, ул. Околовръстен път"
"25.598389","42.054695","Eko Димитровград","Димитровград, бул. Димитър Благоев (до ЖП гарата)"
"23.319300","42.638401","Eko София - Царско село","София, ул. Околовръстен път (Царско село)"
"23.347900","42.961498","Eko Своге","Своге, бул. Искър №6Б"
"25.565500","41.935902","Eko Хасково","Хасково, бул. Васил Левски (до цигарена фабрика)"
"24.641081","42.198837","Eko Радиново","АМ Тракия, км 119 (посока Бургас-София)"
"23.214100","41.422501","Eko Петрич","Петрич, Петрич, изход, местност Мерата"
"26.323200","42.654999","Eko Сливен - Старозагорско шосе","Сливен, ул. Старозагорско шосе (до КАТ)"
